Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
"Rp1,1 M",Kel. Ragunan,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 40m,N/A,"Rp27,5 Jt/m²"
Rp210 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,Luas Bangunan 21m²,Sertifikat Hak Milik,N/A,Rp10 Jt/m²
Rp600 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 50m,Hak Guna Bangunan,Rp12 Jt/m²
Rp980 Jt,Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 66m,Sertifikat Hak Milik,"Rp14,8 Jt/m²"
Rp170 Jt,Kel. Gambir,Kec. Gambir,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp4,9 Jt/m²"
Rp1 M,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 44m,Sertifikat Hak Milik,"Rp22,7 Jt/m²"
Rp550 Jt,Kel. Pondok Bambu,Kec. Duren Sawit,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
Rp300 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,Hak Guna Bangunan,"Rp9,1 Jt/m²"
"Rp3,5 M",Kel. Ancol,Kec. Pademangan,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 121m,Sertifikat Hak Milik,"Rp28,9 Jt/m²"
Rp1 M,Kel. Cipulir,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 41m,Sertifikat Hak Milik,"Rp24,4 Jt/m²"
"Rp2,3 M",Kel. Kayu Putih,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 125m,Sertifikat Hak Milik,"Rp18,4 Jt/m²"
"Rp2,8 M",Kel. Kayu Putih,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 140m,Sertifikat Hak Milik,Rp20 Jt/m²
Rp415 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,Luas Bangunan 21m²,N/A,N/A,"Rp19,8 Jt/m²"
