Harga,Kelurahan,Kecamatan,Kota,Kamar Tidur,Luas Bangunan,Hak Guna,Harga per m2
Rp850 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 27m,Hak Guna Bangunan,"Rp31,5 Jt/m²"
Rp365 Jt,Kel. Meruya Utara (Ilir),Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 35m,N/A,"Rp10,4 Jt/m²"
Rp595 Jt,Kel. Sunter Agung,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp14,2 Jt/m²"
Rp520 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 28m,Sertifikat Hak Milik,"Rp18,6 Jt/m²"
Rp935 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Strata,"Rp22,3 Jt/m²"
Rp584 Jt,Kel. Tanjung Priok,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp584 Jt,Kel. Kebon Bawang,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp584 Jt,Kel. Sungai Bambu,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp584 Jt,Kel. Sunter Jaya,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp584 Jt,Kel. Warakas,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp584 Jt,Kel. Papanggo,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Sertifikat Hak Milik,"Rp13,9 Jt/m²"
Rp990 Jt,Kel. Kemayoran,Kec. Kemayoran,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 76m,Hak Guna Bangunan,Rp13 Jt/m²
Rp350 Jt,Kel. Kalibata,Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 35m,N/A,Rp10 Jt/m²
"Rp15,5 M",Kel. Pulo,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 300m,Strata,"Rp51,7 Jt/m²"
"Rp3,7 M",Kel. Senayan,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 132m,Strata,Rp28 Jt/m²
Rp880 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 57m,N/A,"Rp15,4 Jt/m²"
"Rp28,5 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 145m,N/A,Rp197 Jt/m²
"Rp3,7 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 93m,Strata,"Rp39,8 Jt/m²"
"Rp1,1 M",Kel. Karet,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 45m,Hak Guna Bangunan,"Rp24,4 Jt/m²"
"Rp2,7 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,4 Kamar Tidur,Luas Bangunan 146m,Hak Guna Bangunan,"Rp18,5 Jt/m²"
"Rp1,4 M",Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 100m,Hak Guna Bangunan,"Rp14,5 Jt/m²"
Rp500 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,N/A,"Rp14,3 Jt/m²"
Rp5 M,Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 254m,Sertifikat Hak Milik,"Rp19,7 Jt/m²"
Rp800 Jt,Kel. Pulo Gadung,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,N/A,Rp19 Jt/m²
Rp165 Jt,Kel. Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 21m,Sertifikat Hak Milik,"Rp7,9 Jt/m²"
Rp440 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Hak Guna Bangunan,"Rp13,3 Jt/m²"
"Rp2,6 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 118m,Strata,Rp22 Jt/m²
Rp950 Jt,Kel. Kalibaru (Kali Baru),Kec. Cilincing,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 112m,Sertifikat Hak Milik,"Rp8,5 Jt/m²"
"Rp1,2 M",Kel. Pancoran,Kec. Pancoran,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 46m,N/A,"Rp27,2 Jt/m²"
Rp450 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,N/A,"Rp13,2 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
Rp450 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 33m,Strata,"Rp13,6 Jt/m²"
Rp705 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,3 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp14,7 Jt/m²"
Rp600 Jt,Kel. Cengkareng Timur,Kec. Cengkareng,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 60m,Sertifikat Hak Milik,Rp10 Jt/m²
"Rp1,6 M",Kel. Pondok Labu,Kec. Cilandak,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 39m,N/A,Rp41 Jt/m²
"Rp1,7 M",Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 120m,Sertifikat Hak Milik,"Rp14,2 Jt/m²"
Rp325 Jt,Kel. Ancol,Kec. Pademangan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 32m,Hak Guna Bangunan,"Rp10,2 Jt/m²"
Rp600 Jt,Kec. Tanjung Priok,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 45m,Hak Guna Bangunan,"Rp13,3 Jt/m²"
Rp550 Jt,Kec. Pasar Minggu,Kota Jakarta Selatan,N/A,1 Kamar Tidur,Luas Bangunan 33m,N/A,"Rp16,7 Jt/m²"
"Rp1,8 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 95m,N/A,"Rp18,9 Jt/m²"
"Rp1,6 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 82m,N/A,"Rp19,5 Jt/m²"
"Rp1,5 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 82m,N/A,"Rp18,3 Jt/m²"
"Rp1,2 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 56m,N/A,"Rp21,4 Jt/m²"
"Rp1,1 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,1 Kamar Tidur,Luas Bangunan 25m,N/A,Rp46 Jt/m²
Rp1 M,Kec. Cilandak,Kota Jakarta Selatan,N/A,1 Kamar Tidur,Luas Bangunan 40m,N/A,Rp25 Jt/m²
"Rp1,3 M",Kec. Pancoran,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 50m,N/A,Rp27 Jt/m²
Rp580 Jt,Kec. Pancoran,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp13,8 Jt/m²"
"Rp3,6 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 86m,N/A,"Rp41,9 Jt/m²"
"Rp1,3 M",Kel. Meruya Utara (Ilir),Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 76m,Hak Guna Bangunan,"Rp17,1 Jt/m²"
"Rp1,9 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 26m,N/A,"Rp73,1 Jt/m²"
Rp650 Jt,Kel. Kebayoran Lama Selatan,Kec. Kebayoran Lama,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 21m,Sertifikat Hak Milik,Rp31 Jt/m²
Rp670 Jt,Kel. Cilandak Barat,Kec. Cilandak,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 45m,Strata,"Rp14,9 Jt/m²"
Rp325 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,Strata,"Rp9,8 Jt/m²"
"Rp1,2 M",Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 74m,N/A,"Rp16,2 Jt/m²"
"Rp1,9 M",Kel. Tanjung Priok,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 66m,Hak Guna Bangunan,"Rp28,8 Jt/m²"
"Rp1,3 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,"Rp22,5 Jt/m²"
Rp650 Jt,Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 40m,N/A,"Rp16,3 Jt/m²"
"Rp1,1 M",Kel. Kayu Putih,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 90m,N/A,"Rp12,2 Jt/m²"
Rp370 Jt,Kel. Bintaro,Kec. Pesanggrahan,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 22m,Sertifikat Hak Milik,"Rp16,8 Jt/m²"
Rp630 Jt,Kel. Cakung Timur,Kec. Cakung,Kota Jakarta Timur,Luas Bangunan 32m²,N/A,N/A,"Rp19,7 Jt/m²"
Rp530 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp15,6 Jt/m²"
Rp32 M,Kel. Senayan,Kec. Kebayoran Baru,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 453m,Strata,"Rp70,6 Jt/m²"
"Rp3,2 M",Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 55m,N/A,"Rp58,9 Jt/m²"
Rp350 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,N/A,Rp10 Jt/m²
Rp950 Jt,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 38m,Strata,Rp25 Jt/m²
Rp1 M,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 57m,Sertifikat Hak Milik,"Rp17,5 Jt/m²"
Rp600 Jt,Kel. Pasar Minggu,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 26m,Hak Guna Bangunan,"Rp23,1 Jt/m²"
Rp920 Jt,Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 37m,N/A,"Rp24,9 Jt/m²"
Rp935 Jt,Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 47m,Strata,"Rp19,9 Jt/m²"
Rp750 Jt,Kec. Pademangan,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 38m,Hak Guna Bangunan,"Rp19,7 Jt/m²"
Rp750 Jt,Kec. Pademangan,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 38m,Hak Guna Bangunan,"Rp19,7 Jt/m²"
Rp800 Jt,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,N/A,2 Kamar Tidur,Luas Bangunan 42m,N/A,Rp19 Jt/m²
Rp800 Jt,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,N/A,2 Kamar Tidur,Luas Bangunan 42m,N/A,Rp19 Jt/m²
Rp850 Jt,Kel. Cilincing,Kec. Cilincing,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 31m,Hak Guna Bangunan,"Rp27,4 Jt/m²"
"Rp2,3 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 110m,N/A,"Rp20,9 Jt/m²"
Rp390 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 34m,Strata,"Rp11,5 Jt/m²"
"Rp1,1 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp27,4 Jt/m²"
Rp24 M,Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 146m,Hak Guna Bangunan,Rp164 Jt/m²
Rp650 Jt,Kel. Kayu Putih,Kec. Pulogadung (Pulo Gadung),Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 43m,N/A,"Rp15,1 Jt/m²"
Rp650 Jt,Kel. Kalideres,Kec. Kalideres,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 39m,Hak Guna Bangunan,"Rp16,7 Jt/m²"
Rp450 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp12,2 Jt/m²"
Rp450 Jt,Kel. Rambutan,Kec. Ciracas,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 48m,Strata,"Rp9,4 Jt/m²"
"Rp1,4 M",Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 100m,Hak Guna Bangunan,"Rp14,5 Jt/m²"
Rp4 M,Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 203m,Strata,"Rp19,7 Jt/m²"
Rp4 M,Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 203m,Strata,"Rp19,7 Jt/m²"
"Rp3,5 M",Kel. Cikini,Kec. Menteng,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 74m,N/A,"Rp47,3 Jt/m²"
"Rp1,4 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,N/A,"Rp24,2 Jt/m²"
Rp250 Jt,Kel. Meruya Utara (Ilir),Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 35m,N/A,"Rp7,1 Jt/m²"
"Rp1,3 M",Kel. Pademangan Barat,Kec. Pademangan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 59m,Strata,Rp22 Jt/m²
Rp1 M,Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 45m,Strata,"Rp22,2 Jt/m²"
Rp450 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,N/A,"Rp13,2 Jt/m²"
Rp550 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp16,2 Jt/m²"
Rp270 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,"Rp7,1 Jt/m²"
"Rp1,4 M",Kel. Karet Kuningan,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 70m,N/A,"Rp20,7 Jt/m²"
Rp330 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 37m,N/A,"Rp8,9 Jt/m²"
Rp500 Jt,Kel. Pengadegan,Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 36m,Hak Guna Bangunan,"Rp13,9 Jt/m²"
Rp295 Jt,Kel. Rawajati (Rawa Jati),Kec. Pancoran,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,"Rp8,9 Jt/m²"
Rp950 Jt,Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 28m,N/A,"Rp33,9 Jt/m²"
"Rp2,7 M",Kel. Menteng Dalam,Kec. Tebet,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 146m,N/A,"Rp18,5 Jt/m²"
"Rp6,5 M",Kec. Mampang Prapatan,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 165m,Strata,"Rp39,4 Jt/m²"
"Rp1,3 M",Kel. Cilandak Timur,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 32m,Strata,"Rp40,6 Jt/m²"
"Rp4,5 M",Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,4 Kamar Tidur,Luas Bangunan 206m,N/A,"Rp21,8 Jt/m²"
Rp650 Jt,Kel. Bendungan Hilir,Kec. Tanah Abang,Kota Jakarta Pusat,2 Kamar Tidur,Luas Bangunan 43m,Strata,"Rp15,1 Jt/m²"
Rp500 Jt,Kel. Cipinang Besar Utara,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 34m,Sertifikat Hak Milik,"Rp14,7 Jt/m²"
Rp635 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,1 Kamar Tidur,Luas Bangunan 29m,Strata,"Rp21,9 Jt/m²"
Rp270 M,Kel. Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,220 Kamar Tidur,Luas Bangunan 15000m,Hak Guna Bangunan,Rp18 Jt/m²
"Rp1,3 M",Kel. Menteng Atas,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 74m,Sertifikat Hak Milik,"Rp17,6 Jt/m²"
Rp280 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 26m,Hak Guna Bangunan,"Rp10,8 Jt/m²"
Rp980 Jt,Kel. Tebet Timur,Kec. Tebet,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 54m,Strata,"Rp18,1 Jt/m²"
Rp200 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,Luas Bangunan 33m²,Hak Guna Bangunan,N/A,"Rp6,1 Jt/m²"
"Rp1,3 M",Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,3 Kamar Tidur,Luas Bangunan 119m,Hak Guna Bangunan,"Rp11,1 Jt/m²"
"Rp1,2 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 50m,Sertifikat Hak Milik,Rp25 Jt/m²
Rp700 Jt,Kel. Pasar Minggu,Kec. Pasar Minggu,Kota Jakarta Selatan,1 Kamar Tidur,Luas Bangunan 40m,Hak Guna Bangunan,"Rp17,5 Jt/m²"
"Rp1,3 M",Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 63m,Strata,"Rp20,6 Jt/m²"
Rp650 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 37m,Hak Guna Bangunan,"Rp17,6 Jt/m²"
Rp500 Jt,Kel. Srengseng,Kec. Kembangan,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 32m,Sertifikat Hak Milik,"Rp15,6 Jt/m²"
Rp9 M,Kel. Kamal Muara,Kec. Penjaringan,Kota Jakarta Utara,4 Kamar Tidur,Luas Bangunan 167m,N/A,"Rp53,9 Jt/m²"
Rp950 Jt,Kel. Kelapa Gading Barat,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 45m,Sertifikat Hak Milik,"Rp21,1 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
Rp950 Jt,Kel. Srengseng,Kec. Kembangan,Kota Jakarta Barat,2 Kamar Tidur,Luas Bangunan 38m,Sertifikat Hak Milik,Rp25 Jt/m²
Rp397 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,Luas Bangunan 26m²,Hak Guna Bangunan,N/A,"Rp15,3 Jt/m²"
"Rp2,3 M",Kel. Karet Semanggi,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 72m,Strata,"Rp31,9 Jt/m²"
Rp400 Jt,Kec. Kalideres,Kota Jakarta Barat,N/A,2 Kamar Tidur,Luas Bangunan 45m,N/A,"Rp8,9 Jt/m²"
Rp600 Jt,Kel. Cipinang Besar Selatan,Kec. Jatinegara,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 35m,Hak Guna Bangunan,"Rp17,1 Jt/m²"
Rp890 Jt,Kec. Kemayoran,Kota Jakarta Pusat,N/A,2 Kamar Tidur,Luas Bangunan 60m,N/A,"Rp14,8 Jt/m²"
Rp650 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 48m,Sertifikat Hak Milik,"Rp13,5 Jt/m²"
Rp550 Jt,Kec. Kelapa Gading,Kota Jakarta Utara,N/A,2 Kamar Tidur,Luas Bangunan 48m,N/A,"Rp11,5 Jt/m²"
"Rp6,8 M",Kel. Kuningan Timur,Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 162m,Sertifikat Hak Milik,"Rp42,3 Jt/m²"
Rp10 M,Kel. Kebon Melati,Kec. Tanah Abang,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 183m,Hak Guna Bangunan,"Rp54,6 Jt/m²"
Rp399 Jt,Kec. Cempaka Putih,Kota Jakarta Pusat,N/A,2 Kamar Tidur,Luas Bangunan 34m,N/A,"Rp11,7 Jt/m²"
"Rp2,2 M",Kel. Bangka,Kec. Mampang Prapatan,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 74m,Sertifikat Hak Milik,"Rp30,4 Jt/m²"
"Rp2,3 M",Kel. Tanjung Duren Selatan,Kec. Grogol Petamburan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 65m,Sertifikat Hak Milik,"Rp35,4 Jt/m²"
Rp415 Jt,Kel. Pondok Bambu,Kec. Duren Sawit,Kota Jakarta Timur,2 Kamar Tidur,Luas Bangunan 42m,N/A,"Rp9,9 Jt/m²"
Rp350 Jt,Kel. Pegangsaan Dua,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,N/A,Rp10 Jt/m²
"Rp1,2 M",Kel. Cawang,Kec. Kramatjati (Kramat Jati),Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 37m,N/A,"Rp32,4 Jt/m²"
"Rp5,6 M",Kec. Cilandak,Kota Jakarta Selatan,N/A,2 Kamar Tidur,Luas Bangunan 147m,N/A,"Rp38,4 Jt/m²"
Rp18 M,Kec. Kebayoran Baru,Kota Jakarta Selatan,N/A,3 Kamar Tidur,Luas Bangunan 384m,N/A,"Rp46,9 Jt/m²"
"Rp2,1 M",Kel. Setia Budi (Setiabudi),Kec. Setiabudi (Setia Budi),Kota Jakarta Selatan,4 Kamar Tidur,Luas Bangunan 90m,Sertifikat Hak Milik,"Rp23,3 Jt/m²"
Rp320 Jt,Kel. Kebon Jeruk,Kec. Kebon Jeruk,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 21m,Hak Guna Bangunan,"Rp15,2 Jt/m²"
Rp625 Jt,Kel. Duri Kosambi,Kec. Cengkareng,Kota Jakarta Barat,1 Kamar Tidur,Luas Bangunan 37m,Sertifikat Hak Milik,"Rp16,9 Jt/m²"
"Rp2,9 M",Kel. Kenari,Kec. Senen,Kota Jakarta Pusat,3 Kamar Tidur,Luas Bangunan 71m,N/A,"Rp42,1 Jt/m²"
"Rp2,7 M",Kel. Penjaringan,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 135m,Sertifikat Hak Milik,Rp20 Jt/m²
"Rp2,9 M",Kel. Kembangan Selatan,Kec. Kembangan,Kota Jakarta Barat,3 Kamar Tidur,Luas Bangunan 82m,Strata,"Rp35,4 Jt/m²"
Rp350 Jt,Kel. Sunter Jaya,Kec. Tanjung Priok,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,N/A,Rp10 Jt/m²
Rp950 Jt,Kel. Pademangan Timur,Kec. Pademangan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 76m,Sertifikat Hak Milik,"Rp12,5 Jt/m²"
"Rp1,5 M",Kel. Grogol Utara,Kec. Kebayoran Lama,Kota Jakarta Selatan,2 Kamar Tidur,Luas Bangunan 60m,Strata,Rp25 Jt/m²
Rp324 Jt,Kel. Rawasari,Kec. Cempaka Putih,Kota Jakarta Pusat,1 Kamar Tidur,Luas Bangunan 21m,N/A,"Rp15,4 Jt/m²"
Rp190 Jt,Kel. Kelapa Gading Timur,Kec. Kelapa Gading,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 35m,Sertifikat Hak Milik,"Rp5,4 Jt/m²"
Rp550 Jt,Kel. Pluit,Kec. Penjaringan,Kota Jakarta Utara,2 Kamar Tidur,Luas Bangunan 42m,Hak Guna Bangunan,"Rp13,1 Jt/m²"
"Rp1,8 M",Kel. Lebak Bulus,Kec. Cilandak,Kota Jakarta Selatan,3 Kamar Tidur,Luas Bangunan 120m,Strata,"Rp15,4 Jt/m²"
Rp230 Jt,Kel. Pulo Gebang,Kec. Cakung,Kota Jakarta Timur,1 Kamar Tidur,Luas Bangunan 33m,Sertifikat Hak Milik,Rp7 Jt/m²
